"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#Cassius_JC,""#Brutus_JC"",0.242857176348163,101,""It is not for your health thus to commit Your weak condition to the raw cold morning."",""The morning comes upon 's.""";;
"#Cassius_JC,""#Brutus_JC"",0.247846480351062,3,""Let me not hinder, Cassius, your desires."",""Fellow, come from the throng.""";;
"#Cassius_JC,""#Brutus_JC"",0.249025864350715,2,""I do lack some part Of that quick spirit that is in Antony."",""Fellow, come from the throng.""";;
"#Cassius_JC,""#Brutus_JC"",0.260415852298712,60,""Go to the gate";" somebody knocks."",""Fellow, come from the throng.""";
"#Cassius_JC,""#Caesar_JC"",0.237234535965579,35,""Cannot is false, and that I dare not, falser."",""And why should Caesar be a tyrant, then?""";;
"#Cassius_JC,""#Caesar_JC"",0.262729904763328,8,""What sayst thou to me now?"",""Fellow, come from the throng.""";;
"#Cassius_JC,""#Caesar_JC"",0.280238645668063,46,""And this way have you well expounded it."",""And since you know you cannot see yourself So well as by reflection, I, your glass, Will modestly discover to yourself That of yourself which you yet know not of.""";;
"#Cassius_JC,""#Caesar_JC"",0.291343998132163,38,""Have I in conquest stretched mine arm so far, To be afeard to tell graybeards the truth?"",""For Romans now Have thews and limbs like to their ancestors.""";;
"#Cassius_JC,""#Caesar_JC"",0.293790466804561,41,""That is enough to satisfy the Senate."",""And let us swear our resolution.""";;
"#Cassius_JC,""#Caesar_JC"",0.31136331627292,21,""The things that threatened me Ne'er looked but on my back."",""And it is very much lamented, Brutus, That you have no such mirrors as will turn Your hidden worthiness into your eye, That you might see your shadow.""";;
"#Cassius_JC,""#Caesar_JC"",0.314183571084869,30,""We are two lions littered in one day, And I the elder and more terrible."",""Poor man, I know he would not be a wolf But that he sees the Romans are but sheep";" He were no lion, were not Romans hinds.""";
"#Cassius_JC,""#Caesar_JC"",0.321964190718187,48,""I am ashamèd I did yield to them."",""Were I a common laughter, or did use To stale with ordinary oaths my love To every new protester";" if you know That I do fawn on men and hug them hard And after scandal them, or if you know That I profess myself in banqueting To all the rout, then hold me dangerous.""";
"#Cassius_JC,""#Caesar_JC"",0.324815268486756,20,""Go bid the priests do present sacrifice, And bring me their opinions of success."",""Then, Brutus, I have much mistook your passion, By means whereof this breast of mine hath buried Thoughts of great value, worthy cogitations.""";;
"#Cassius_JC,""#Caesar_JC"",0.32933789681658,45,""And these does she apply for warnings and portents And evils imminent, and on her knee Hath begged that I will stay at home today."",""But, O grief, Where hast thou led me?""";;
