"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;;;
"#Brutus_JC,""#Casca_JC"",0.557158165661813,38,""Cassius, what night is this!"",""Let me not hinder, Cassius, your desires.""";;;;;
"#Brutus_JC,""#Casca_JC"",0.584721169967549,21,""But there's no heed to be taken of them";" if Caesar had stabbed their mothers, they would have done no less."",""Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.""";;;;
"#Brutus_JC,""#Casca_JC"",0.587587173605261,11,""And then he offered it the third time."",""Was the crown offered him thrice?""";;;;;
"#Brutus_JC,""#Casca_JC"",0.601157733599406,45,""You speak to Casca, and to such a man That is no fleering telltale."",""Tell us the manner of it, gentle Casca.""";;;;;
"#Brutus_JC,""#Casca_JC"",0.615417935740569,42,""'Tis Caesar that you mean, is it not, Cassius?"",""But look you, Cassius, The angry spot doth glow on Caesar's brow, And all the rest look like a chidden train.""";;;;;
"#Brutus_JC,""#Casca_JC"",0.618958475386525,12,""He put it the third time by, and still as he refused it the rabblement hooted and clapped their chopped hands and threw up their sweaty nightcaps and uttered such a deal of stinking breath because Caesar refused the crown that it had almost choked Caesar, for he swooned and fell down at it."",""Tell us what hath chanced today That Caesar looks so sad.""";;;;;
"#Brutus_JC,""#Casca_JC"",0.662408344365262,19,""When he came to himself again, he said if he had done or said anything amiss, he desired their Worships to think it was his infirmity."",""What said he when he came unto himself?""";;;;;
"#Brutus_JC,""#Casca_JC"",0.684823893376986,9,""I saw Mark Antony offer him a crown (yet 'twas not a crown neither"; 'twas one of these coronets), and, as I told you, he put it by once;" but for all that, to my thinking, he would fain have had it."",""Was the crown offered him thrice?""";;;
"#Brutus_JC,""#Casca_JC"",0.692528346009737,15,""I know not what you mean by that, but I am sure Caesar fell down."",""Tell us what hath chanced today That Caesar looks so sad.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.536002706514384,40,""O Brutus, The heavens speed thee in thine enterprise!"",""That every like is not the same, O Caesar, The heart of Brutus earns to think upon.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.550925140732751,11,""No, my Brutus, You have some sick offense within your mind, Which by the right and virtue of my place I ought to know of."",""Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.567135727115798,13,""I should not need, if you were gentle Brutus."",""But let not therefore my good friends be grieved (Among which number, Cassius, be you one) Nor construe any further my neglect Than that poor Brutus, with himself at war, Forgets the shows of love to other men.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.587925642096886,43,""-  Run, Lucius, and commend me to my lord."",""Get me a taper in my study, Lucius.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.593002561668256,33,""Hark, boy, what noise is that?"",""What was the second noise for?""";;;;;
"#Brutus_JC,""#Portia_JC"",0.599250073787923,32,""And take good note What Caesar doth, what suitors press to him."",""And for Mark Antony, think not of him, For he can do no more than Caesar's arm When Caesar's head is off.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.609909272317793,37,""Thou hast some suit to Caesar, hast thou not?"",""O Rome, I make thee promise, If the redress will follow, thou receivest Thy full petition at the hand of Brutus.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.612886971483392,42,""Brutus hath a suit That Caesar will not grant."",""That every like is not the same, O Caesar, The heart of Brutus earns to think upon.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.632422952561529,8,""Brutus is wise and, were he not in health, He would embrace the means to come by it."",""Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.""";;;;;
"#Brutus_JC,""#Portia_JC"",0.654423109845592,36,""Is Caesar yet gone to the Capitol?"",""The games are done, and Caesar is returning.""";;;;;
"#Brutus_JC,""#Antony_JC"",0.607109953037122,5,""O mighty Caesar, dost thou lie so low?"",""But, alas, Caesar must bleed for it.""";;;;;
"#Brutus_JC,""#Antony_JC"",0.610620803948005,33,""Over thy wounds now do I prophesy (Which like dumb mouths do ope their ruby lips To beg the voice and utterance of my tongue) A curse shall light upon the limbs of men"; Domestic fury and fierce civil strife Shall cumber all the parts of Italy; Blood and destruction shall be so in use And dreadful objects so familiar That mothers shall but smile when they behold Their infants quartered with the hands of war, All pity choked with custom of fell deeds;" And Caesar's spirit, ranging for revenge, With Ate by his side come hot from hell, Shall in these confines with a monarch's voice Cry “Havoc!” and let slip the dogs of war, That this foul deed shall smell above the earth With carrion men groaning for burial."",""Our hearts you see not"; they are pitiful;" And pity to the general wrong of Rome (As fire drives out fire, so pity pity) Hath done this deed on Caesar."""
"#Brutus_JC,""#Antony_JC"",0.613889526404355,3,""He is a noble Roman, and well given."",""Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.""";;;;;
"#Brutus_JC,""#Antony_JC"",0.615915781400508,15,""-  Now, Decius Brutus, yours"; - now yours, Metellus; -  Yours, Cinna; - and, my valiant Casca, yours;" -  Though last, not least in love, yours, good Trebonius."",""But let not therefore my good friends be grieved (Among which number, Cassius, be you one) Nor construe any further my neglect Than that poor Brutus, with himself at war, Forgets the shows of love to other men.""";
"#Brutus_JC,""#Antony_JC"",0.648069583878721,35,""Caesar did write for him to come to Rome."",""Look how he makes to Caesar.""";;;;;
"#Brutus_JC,""#Antony_JC"",0.64852112185469,19,""If then thy spirit look upon us now, Shall it not grieve thee dearer than thy death To see thy Antony making his peace, Shaking the bloody fingers of thy foes -  Most noble!"",""O Antony, beg not your death of us!""";;;;;
"#Brutus_JC,""#Antony_JC"",0.673818597311669,4,""So to most noble Caesar."",""But, alas, Caesar must bleed for it.""";;;;;
"#Brutus_JC,""#Antony_JC"",0.696070447307766,2,""Fear him not, Caesar";" he's not dangerous."",""I do fear the people Choose Caesar for their king.""";;;;
"#Brutus_JC,""#Antony_JC"",0.696990842225875,27,""Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous."",""So are we Caesar's friends, that have abridged His time of fearing death.""";;;;;
"#Brutus_JC,""#Antony_JC"",0.706947975210173,26,""Therefore I took your hands, but was indeed Swayed from the point by looking down on Caesar."",""And, to speak truth of Caesar, I have not known when his affections swayed More than his reason.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.65053578389479,105,""Yet I fear him, For in the engrafted love he bears to Caesar -"",""I do fear the people Choose Caesar for their king.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.651983248764701,56,""Caesar doth bear me hard, but he loves Brutus."",""Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.652269978801304,127,""I blame you not for praising Caesar so."",""Look how he makes to Caesar.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.658932757065757,16,""I know that virtue to be in you, Brutus, As well as I do know your outward favor."",""But let not therefore my good friends be grieved (Among which number, Cassius, be you one) Nor construe any further my neglect Than that poor Brutus, with himself at war, Forgets the shows of love to other men.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.67435290099732,118,""Trebonius knows his time, for look you, Brutus, He draws Mark Antony out of the way."",""And for Mark Antony, think not of him, For he can do no more than Caesar's arm When Caesar's head is off.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.675630654857598,74,""And why should Caesar be a tyrant, then?"",""I do fear the people Choose Caesar for their king.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.676782144519689,116,""-  Brutus, what shall be done?"",""O Rome, I make thee promise, If the redress will follow, thou receivest Thy full petition at the hand of Brutus.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.699245853330655,117,""If this be known, Cassius or Caesar never shall turn back, For I will slay myself."",""Since Cassius first did whet me against Caesar, I have not slept.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.711217385395391,53,""Well, Brutus, thou art noble."",""Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.""";;;;;
"#Brutus_JC,""#Cassius_JC"",0.892672000968983,45,""Who offered him the crown?"",""Was the crown offered him thrice?""";;;;;
