"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.126203277056165,58,""The air bites shrewdly";" it is very cold."",""So please you, something touching the Lord Hamlet.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.373612590475065,74,""And for my soul, what can it do to that, Being a thing immortal as itself?"",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.292487196103994,75,""It waves me forth again."",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.427152105857507,76,""It waves me still.-Go on, I'll follow thee."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.278490185006673,77,""My fate cries out And makes each petty arture in this body As hardy as the Nemean lion's nerve."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.343415720823324,78,""By heaven, I'll make a ghost of him that lets me!"",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.279156375179244,79,""I say, away!-Go on."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.504184283834963,80,""Whither wilt thou lead me?"",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.382746578927067,81,""I am bound to hear."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.413020927746185,82,""Haste me to know 't, that I, with wings as swift As meditation or the thoughts of love, May sweep to my revenge."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.371794932217411,83,""O all you host of heaven!"",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.513642105179985,84,""And shall I couple hell?"",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.370426035532957,85,""Hold, hold, my heart, And you, my sinews, grow not instant old, But bear me stiffly up."",""He hath, my lord, of late made many tenders Of his affection to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.343786063265943,86,""Ay, thou poor ghost, whiles memory holds a seat In this distracted globe."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.373889487747376,87,""Yea, from the table of my memory I'll wipe away all trivial, fond records, All saws of books, all forms, all pressures past, That youth and observation copied there, And thy commandment all alone shall live Within the book and volume of my brain, Unmixed with baser matter."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.260517378414005,88,""O villain, villain, smiling, damnèd villain!"",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.348787891651992,89,""My tables-meet it is I set it down That one may smile and smile and be a villain."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.156915206883684,90,""At least I am sure it may be so in Denmark."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.243817624673491,91,""So, uncle, there you are."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.393060518886435,92,""It is ""adieu, adieu, remember me."" I have sworn 't."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.234359096510901,93,""No, you will reveal it."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.366402179861211,94,""Would heart of man once think it?"",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.313592609995949,95,""There's never a villain dwelling in all Denmark But he's an arrant knave."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.340814187512611,96,""Why, right, you are in the right."",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.428219408533679,97,""And so, without more circumstance at all, I hold it fit that we shake hands and part, You, as your business and desire shall point you (For every man hath business and desire, Such as it is), and for my own poor part, I will go pray."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.336788471683467,98,""I am sorry they offend you, heartily";" Yes, faith, heartily."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.385380261654623,99,""Yes, by Saint Patrick, but there is, Horatio, And much offense, too."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.295488757364857,100,""Touching this vision here, It is an honest ghost-that let me tell you."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.319474283061416,101,""For your desire to know what is between us, O'ermaster 't as you may."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.37048439453004,102,""And now, good friends, As you are friends, scholars, and soldiers, Give me one poor request."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.203650597400858,103,""Never make known what you have seen tonight."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.426353740281401,104,""Indeed, upon my sword, indeed."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.395781551839745,105,""Ha, ha, boy, sayst thou so?"",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.27381119771744,106,""Come on, you hear this fellow in the cellarage."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.380986078104923,107,""Never to speak of this that you have seen, Swear by my sword."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.255917236928873,108,""Then we'll shift our ground."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.449675848008821,109,""Come hither, gentlemen, And lay your hands again upon my sword."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.343440255215879,110,""Swear by my sword Never to speak of this that you have heard."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.2492889979141,111,""Canst work i' th' earth so fast?- A worthy pioner!"",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.200899095850598,112,""Once more remove, good friends."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.348996772465865,113,""And therefore as a stranger give it welcome."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.441692339462923,114,""There are more things in heaven and earth, Horatio, Than are dreamt of in your philosophy."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.445771760494304,115,""Here, as before, never, so help you mercy, How strange or odd some'er I bear myself (As I perchance hereafter shall think meet To put an antic disposition on) That you, at such times seeing me, never shall, With arms encumbered thus, or this headshake, Or by pronouncing of some doubtful phrase, As ""Well, well, we know,"" or ""We could an if we would,"" Or ""If we list to speak,"" or ""There be an if they might,"" Or such ambiguous giving-out, to note That you know aught of me-this do swear, So grace and mercy at your most need help you."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.65794017362404,116,""Rest, rest, perturbèd spirit.-So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.333650190912554,117,""Let us go in together, And still your fingers on your lips, I pray."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.14545977384986,118,""The time is out of joint."",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.3356296499776,119,""O cursèd spite That ever I was born to set it right!"",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.290281133578932,120,""Nay, come, let's go together."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.286675797391221,121,""Then I would you were so honest a man."",""That done, he lets me go, And, with his head over his shoulder turned, He seemed to find his way without his eyes, For out o' doors he went without their helps And to the last bended their light on me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.235416535742447,122,""To be honest, as this world goes, is tobe one man picked out of ten thousand."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.355037514956067,123,""For if the sun breed maggots in a deaddog, being a good kissing carrion-Have you adaughter?"",""He hath, my lord, of late made many tenders Of his affection to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.271373180353819,124,""Let her not walk i' th' sun."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.123910118941541,125,""Conception is ablessing, but, as your daughter may conceive,friend, look to 't."",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.449254167250285,126,""Slanders, sir"; for the satirical rogue says herethat old men have gray beards, that their faces arewrinkled, their eyes purging thick amber andplum-tree gum, and that they have a plentiful lack ofwit, together with most weak hams; all which, sir,though I most powerfully and potently believe, yet Ihold it not honesty to have it thus set down;" foryourself, sir, shall grow old as I am, if, like a crab,you could go backward."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";
"#Ophelia_Ham,""#Hamlet_Ham"",0.436969549198063,127,""You cannot, sir, take from me anything that Iwill more willingly part withal-except my life,except my life, except my life."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.271905674254698,128,""Good lads, how doyou both?"",""I shall the effect of this good lesson keep As watchman to my heart.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.237022089680569,129,""Nor the soles of her shoe?"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.242188048142612,130,""Then you live about her waist, or in themiddle of her favors?"",""He hath, my lord, of late made many tenders Of his affection to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.332584791508997,131,""In the secret parts of Fortune?"",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.180002354188832,132,""O, most true!She is a strumpet."",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.165953513477518,133,""But your news is nottrue."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.273910037406768,134,""Let me question more in particular."",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.333502405160371,135,""Whathave you, my good friends, deserved at the hands ofFortune that she sends you to prison hither?"",""No, my good lord, but as you did command I did repel his letters and denied His access to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.269091929803724,136,""A goodly one, in which there are many confines,wards, and dungeons, Denmark being one o'th' worst."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.282490985363435,137,""Why, then, 'tis none to you, for there isnothing either good or bad but thinking makes itso."",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.237838947196436,138,""To me, it is a prison."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.328377406420615,139,""O God, I could be bounded in a nutshell andcount myself a king of infinite space, were it notthat I have bad dreams."",""No, my good lord, but as you did command I did repel his letters and denied His access to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.185913777028781,140,""A dream itself is but a shadow."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.353014252169909,141,""Then are our beggars bodies, and our monarchsand outstretched heroes the beggars' shadows.Shall we to th' court?"",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.291905532396141,142,""For, by my fay, I cannotreason."",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.471739093131659,143,""I will not sort you with therest of my servants, for, to speak to you like anhonest man, I am most dreadfully attended."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.350974257716323,144,""But,in the beaten way of friendship, what make you atElsinore?"",""He hath, my lord, of late made many tenders Of his affection to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.333970226442539,145,""Beggar that I am, I am even poor in thanks";"but I thank you, and sure, dear friends, my thanksare too dear a halfpenny."",""My lord, he hath importuned me with love In honorable fashion-""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.23584804016759,146,""Were you not sent for?Is it your own inclining?"",""No, my good lord, but as you did command I did repel his letters and denied His access to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.216528946761117,147,""Is it a free visitation?Come, come, deal justly with me."",""That done, he lets me go, And, with his head over his shoulder turned, He seemed to find his way without his eyes, For out o' doors he went without their helps And to the last bended their light on me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.323716058669647,148,""Anything but to th' purpose."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.423507163118395,149,""You were sentfor, and there is a kind of confession in your lookswhich your modesties have not craft enough tocolor."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.338821337523339,150,""I know the good king and queen have sent foryou."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.406146006624543,151,""That you must teach me."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.458790691521483,152,""But let me conjureyou by the rights of our fellowship, by the consonancyof our youth, by the obligation of our ever-preservedlove, and by what more dear a betterproposer can charge you withal: be even and directwith me whether you were sent for or no."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.370926759137856,153,""Nay, then, I have an eye of you.-Ifyou love me, hold not off."",""Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.356861389461476,154,""I will tell you why";" so shall my anticipationprevent your discovery, and your secrecy to theKing and Queen molt no feather."",""O, my lord, my lord, I have been so affrighted!""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.403164181732218,155,""I have of late, butwherefore I know not, lost all my mirth, forgone allcustom of exercises, and, indeed, it goes so heavilywith my disposition that this goodly frame, theEarth, seems to me a sterile promontory"; this mostexcellent canopy, the air, look you, this brave o'erhangingfirmament, this majestical roof, frettedwith golden fire-why, it appeareth nothing to mebut a foul and pestilent congregation of vapors.What a piece of work is a man, how noble inreason, how infinite in faculties, in form and movinghow express and admirable;" in action how likean angel, in apprehension how like a god: thebeauty of the world, the paragon of animals-andyet, to me, what is this quintessence of dust?"",""So please you, something touching the Lord Hamlet.""";;
"#Ophelia_Ham,""#Hamlet_Ham"",0.240027931235885,156,""Mandelights not me, no, nor women neither, though byyour smiling you seem to say so."",""He hath, my lord, of late made many tenders Of his affection to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.288123752258492,157,""Why did you laugh, then, when I said ""mandelights not me""?"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.545203278780852,158,""He that plays the king shall be welcome-hisMajesty shall have tribute on me."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.426749058353539,159,""The adventurousknight shall use his foil and target, the lover shallnot sigh gratis, the humorous man shall end hispart in peace, the clown shall make those laughwhose lungs are tickle o' th' sear, and the ladyshall say her mind freely, or the blank verse shallhalt for 't."",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.211822250363832,160,""How chances it they travel?"",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.183957685546032,161,""Their residence,both in reputation and profit, was better both ways."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.098861311530706,162,""Do they hold the same estimation they didwhen I was in the city?"",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.155985928837669,163,""Who maintains 'em?How are they escoted?"",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.193068211043079,164,""Will they pursue the qualityno longer than they can sing?"",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.212999871296654,165,""Will they not sayafterwards, if they should grow themselves to commonplayers (as it is most like, if their means areno better), their writers do them wrong to makethem exclaim against their own succession?"",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.209287351212736,166,""Do the boys carry it away?"",""My lord, I do not know, But truly I do fear it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.252081082558092,167,""It is not very strange";" for my uncle is King ofDenmark, and those that would make mouths athim while my father lived give twenty, forty, fifty,a hundred ducats apiece for his picture in little.'Sblood, there is something in this more than natural,if philosophy could find it out."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.375786484032769,168,""Gentlemen, you are welcome to Elsinore.Your hands, come then."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.328535718404647,169,""Th' appurtenance of welcomeis fashion and ceremony."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.313028030686578,170,""Let me complywith you in this garb, lest my extent to the players,which, I tell you, must show fairly outwards, shouldmore appear like entertainment than yours."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.201792717355615,171,""But my uncle-father and aunt-mother aredeceived."",""He hath, my lord, of late made many tenders Of his affection to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.162814137533704,172,""I am but mad north-north-west."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.185146199092163,173,""When thewind is southerly, I know a hawk from a handsaw."",""Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.382969031771388,174,""Hark you, Guildenstern, and you too-ateach ear a hearer!"",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.244378488002427,175,""That great baby you see there isnot yet out of his swaddling clouts."",""At last, a little shaking of mine arm, And thrice his head thus waving up and down, He raised a sigh so piteous and profound As it did seem to shatter all his bulk And end his being.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.387151378555732,176,""I will prophesy he comes to tell me of theplayers";" mark it.-You say right, sir, a Mondaymorning, 'twas then indeed."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.337381551641059,177,""My lord, I have news to tell you: when Rosciuswas an actor in Rome-"",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.245883086982408,178,""Then came each actor on his ass."",""My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors-he comes before me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.44508236869854,179,""O Jephthah, judge of Israel, what a treasurehadst thou!"",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.317724943243133,180,""One fair daughter, and no more, The which he lovèd passing well."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.28896448478916,181,""Am I not i' th' right, old Jephthah?"",""O, my lord, my lord, I have been so affrighted!""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.430024549859031,182,""As by lot, God wot It came to pass, as most like it was- Why, and then, you know, the first row of the pious chanson will show youmore, for look where my abridgment comes."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
