"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Desdemona_Oth,""#Iago_Oth"",0.727789000061155,463,""What is the matter, lady?"",""What is the matter, dear?""";
"#Desdemona_Oth,""#Iago_Oth"",0.730411592421155,462,""How is 't with you?"",""- How is 't with you, my lord?""";
"#Desdemona_Oth,""#Iago_Oth"",0.760695613400982,117,""If she be black, and thereto have a wit, She'll find a white that shall her blackness hit."",""How if she be black and witty?""";
"#Roderigo_Oth,""#Iago_Oth"",0.571211389239263,97,""Thus do I ever make my fool my purse."",""I take it much unkindly That thou, Iago, who hast had my purse As if the strings were thine, shouldst know of this.""";
"#Roderigo_Oth,""#Iago_Oth"",0.573553026844842,132,""Do thou meet me presently at the harbor."",""Where shall we meet i' th' morning?""";
"#Roderigo_Oth,""#Iago_Oth"",0.59433492205533,164,""Meet me by and by at the citadel."",""Where shall we meet i' th' morning?""";
"#Roderigo_Oth,""#Iago_Oth"",0.604912406012475,254,""She is of so free, so kind, so apt, so blessed a disposition she holds it a vice in her goodness not to do more than she is requested."",""She's full of most blessed condition.""";
"#Roderigo_Oth,""#Iago_Oth"",0.610209617533436,493,""And you shall be satisfied."",""If not, assure yourself I will seek satisfaction of you.""";
"#Roderigo_Oth,""#Iago_Oth"",0.619616148269156,273,""By th' Mass, 'tis morning!"",""Where shall we meet i' th' morning?""";
"#Roderigo_Oth,""#Iago_Oth"",0.63274156894563,58,""If thou dost, I shall never love thee after."",""Thou toldst me thou didst hold him in thy hate.""";
"#Roderigo_Oth,""#Iago_Oth"",0.640341211260228,481,""If thou the next night following enjoy not Desdemona, take me from this world with treachery and devise engines for my life."",""I will make myself known to Desdemona.""";
"#Roderigo_Oth,""#Iago_Oth"",0.64763984867877,14,""I follow him to serve my turn upon him."",""I would not follow him, then.""";
"#Roderigo_Oth,""#Iago_Oth"",0.754580078004753,21,""In following him, I follow but myself."",""I would not follow him, then.""";
"#Duke_Oth,""#Iago_Oth"",0.512268537016554,180,""Come, lieutenant, I have a stoup of wine";" and here without are a brace of Cyprus gallants that would fain have a measure to the health of black Othello."",""Valiant Othello, we must straight employ you Against the general enemy Ottoman."""
"#Duke_Oth,""#Iago_Oth"",0.520101841585797,398,""With her - on her - what you will."",""Be it as you shall privately determine, Either for her stay or going.""";
"#Duke_Oth,""#Iago_Oth"",0.521334611491039,74,""It was a violent commencement in her, and thou shalt see an answerable sequestration  - put but money in thy purse."",""Whoe'er he be that in this foul proceeding Hath thus beguiled your daughter of herself And you of her, the bloody book of law You shall yourself read in the bitter letter, After your own sense, yea, though our proper son Stood in your action.""";
"#Duke_Oth,""#Iago_Oth"",0.52956376578858,173,""'Tis not yet ten o' th' clock."",""At nine i' th' morning here we'll meet again.""";
"#Duke_Oth,""#Iago_Oth"",0.535416103695521,302,""Who steals my purse steals trash."",""The robbed that smiles steals something from the thief";" He robs himself that spends a bootless grief."""
"#Duke_Oth,""#Iago_Oth"",0.553899449458383,133,""If thou be'st valiant - as they say base men being in love have then a nobility in their natures more than is native to them - list me."",""And, noble signior, If virtue no delighted beauty lack, Your son-in-law is far more fair than black.""";
"#Duke_Oth,""#Iago_Oth"",0.559704805363161,380,""Witness, you ever-burning lights above, You elements that clip us round about, Witness that here Iago doth give up The execution of his wit, hands, heart To wronged Othello's service!"",""Othello, leave some officer behind And he shall our commission bring to you, With such things else of quality and respect As doth import you.""";
"#Duke_Oth,""#Iago_Oth"",0.577827127658024,111,""Nay, it is true, or else I am a Turk."",""The Turk with a most mighty preparation makes for Cyprus.""";
"#Duke_Oth,""#Iago_Oth"",0.577924579527188,205,""I fear the trust Othello puts him in, On some odd time of his infirmity, Will shake this island."",""Othello, leave some officer behind And he shall our commission bring to you, With such things else of quality and respect As doth import you.""";
"#Duke_Oth,""#Iago_Oth"",0.604163407497984,482,""Sir, there is especial commission come from Venice to depute Cassio in Othello's place."",""Othello, leave some officer behind And he shall our commission bring to you, With such things else of quality and respect As doth import you.""";
