"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#Iago_Oth,""#Emilia_Oth"",0.632628753101,114,""The Moor hath killed my mistress!"",""Now, I do love her too, Not out of absolute lust (though peradventure I stand accountant for as great a sin) But partly led to diet my revenge For that I do suspect the lusty Moor Hath leaped into my seat - the thought whereof Doth, like a poisonous mineral, gnaw my inwards, And nothing can or shall content my soul Till I am evened with him, wife for wife, Or, failing so, yet that I put the Moor At least into a jealousy so strong That judgment cannot cure.""";;
"#Iago_Oth,""#Emilia_Oth"",0.633829038541097,86,""Alas, what is the matter?"",""What is the matter, lady?""";;
"#Iago_Oth,""#Emilia_Oth"",0.634672281966748,57,""I would you had never seen him."",""What If I had said I had seen him do you wrong?""";;
"#Iago_Oth,""#Emilia_Oth"",0.640968328896385,96,""Sweet Desdemona, O sweet mistress, speak!"",""First, I must tell thee this: Desdemona is directly in love with him.""";;
"#Iago_Oth,""#Emilia_Oth"",0.646749098584552,27,""Look you - Cassio and my husband."",""Look to your wife"; observe her well with Cassio;" Wear your eyes thus, not jealous nor secure."""
"#Cassio_Oth,""#Emilia_Oth"",0.575891395080485,100,""Thou dost belie her, and thou art a devil!"",""O thou invisible spirit of wine, if thou hast no name to be known by, let us call thee devil!""";;
"#Cassio_Oth,""#Emilia_Oth"",0.581501081881643,5,""The General and his wife are talking of it, And she speaks for you stoutly."",""If the gentlewoman that attends the General's wife be stirring, tell her there's one Cassio entreats her a little favor of speech.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.606456890413566,127,""I am bound to speak."",""I am much bound to you.""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.595020409886609,119,""I know thou didst not."",""In troth, I think thou wouldst not.""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.598715954735007,115,""O, are you come, Iago?"",""Am I that name, Iago?""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.599578229657718,48,""Would it not make one weep?"",""Alas the heavy day, why do you weep?""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.600134866006115,141,""By heaven, I do not, I do not, gentlemen!"",""By heaven, you do me wrong!""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.602935265675984,63,""Nor I neither, by this heavenly light."",""No, by this heavenly light!""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.605145253064962,93,""No, Cassio is not killed."",""I will not leave him now till Cassio Be called to him.""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.622351871800256,42,""Good madam, what's the matter with my lord?"",""My lord is not my lord";" nor should I know him Were he in favor as in humor altered.""";
"#Desdemona_Oth,""#Emilia_Oth"",0.624978134299068,27,""Look you - Cassio and my husband."",""I pray, talk me of Cassio.""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.635577315663668,125,""Did you say with Cassio?"",""I pray, talk me of Cassio.""";;
"#Desdemona_Oth,""#Emilia_Oth"",0.651687305156475,86,""Alas, what is the matter?"",""What is the matter, dear?""";;
