"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.459245543708506,40,""God you good morrow, gentlemen."",""Young son, it argues a distempered head So soon to bid ""Good morrow"" to thy bed.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.275277887443587,41,""What a man are you?"",""Young men's love then lies Not truly in their hearts, but in their eyes.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.422424020189057,42,""By my troth, it is well said: ""for himself to mar,"" quoth he?"",""Is Rosaline, that thou didst love so dear, So soon forsaken?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.410453116138781,43,""Gentlemen, can any of you tell me where I may find the young Romeo?"",""Therefore thy earliness doth me assure Thou art uproused with some distemp'rature, Or, if not so, then here I hit it right: Our Romeo hath not been in bed tonight.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.309686413879536,44,""If you be he, sir, I desire some confidence with you."",""But come, young waverer, come, go with me.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.334231883466332,45,""I pray you, sir, what saucy merchant was this that was so full of his ropery?"",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.381772525867436,46,""An he speak anything against me, I'll take him down, an he were lustier than he is, and twenty such jacks."",""Young men's love then lies Not truly in their hearts, but in their eyes.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.277275241126237,47,""An if I cannot, I'll find those that shall."",""If e'er thou wast thyself, and these woes thine, Thou and these woes were all for Rosaline.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.317810308962794,48,""Scurvy knave, I am none of his flirt-gills";" I am none of his skains-mates."",""But come, young waverer, come, go with me.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.30303218159168,59,""No, truly, sir, not a penny."",""Not in a grave To lay one in, another out to have.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.33881966110651,60,""Well, she shall be there."",""O, she knew well Thy love did read by rote, that could not spell.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.457103695125323,61,""Now, God in heaven bless thee!"",""The sun not yet thy sighs from heaven clears, Thy old groans yet ringing in mine ancient ears.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.345482398111777,62,""Did you ne'er hear say ""Two may keep counsel, putting one away""?"",""Riddling confession finds but riddling shrift.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.359592549064021,63,""Well, sir, my mistress is the sweetest lady."",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.409138500255096,64,""Lord, Lord, when 'twas a little prating thing - O, there is a nobleman in town, one Paris, that would fain lay knife aboard, but she, good soul, had as lief see a toad, a very toad, as see him."",""If e'er thou wast thyself, and these woes thine, Thou and these woes were all for Rosaline.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.334636053540575,65,""I anger her sometimes and tell her that Paris is the properer man, but I'll warrant you, when I say so, she looks as pale as any clout in the versal world."",""Jesu Maria, what a deal of brine Hath washed thy sallow cheeks for Rosaline!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.51511145977476,66,""Doth not rosemary and Romeo begin both with a letter?"",""O, she knew well Thy love did read by rote, that could not spell.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.244128566616694,67,""Ah, mocker, that's the dog's name."",""Now, ere the sun advance his burning eye, The day to cheer and night's dank dew to dry, I must upfill this osier cage of ours With baleful weeds and precious-juiced flowers.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.440653915453325,68,""is for the - No, I know it begins with some other letter, and she hath the prettiest sententious of it, of you and rosemary, that it would do you good to hear it."",""O, she knew well Thy love did read by rote, that could not spell.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.334222364867637,69,""Peter, stay at the gate."",""Holy Saint Francis, what a change is here!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.278165658337536,70,""Fie, how my bones ache!"",""O, she knew well Thy love did read by rote, that could not spell.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.261418593486746,71,""What a jaunt have I!"",""Jesu Maria, what a deal of brine Hath washed thy sallow cheeks for Rosaline!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.269555472052124,72,""Can you not stay awhile?"",""Care keeps his watch in every old man's eye, And, where care lodges, sleep will never lie";" But where unbruised youth with unstuffed brain Doth couch his limbs, there golden sleep doth reign.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.283992982386529,73,""Do you not see that I am out of breath?"",""The sun not yet thy sighs from heaven clears, Thy old groans yet ringing in mine ancient ears.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.251466444578794,74,""Well, you have made a simple choice."",""But come, young waverer, come, go with me.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.301245495561187,75,""You know not how to choose a man."",""Young men's love then lies Not truly in their hearts, but in their eyes.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.329772814956675,76,""Though his face be better than any man's, yet his leg excels all men's, and for a hand and a foot and a body, though they be not to be talked on, yet they are past compare."",""Young men's love then lies Not truly in their hearts, but in their eyes.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.39723946385971,77,""He is not the flower of courtesy, but I'll warrant him as gentle as a lamb."",""Therefore thy earliness doth me assure Thou art uproused with some distemp'rature, Or, if not so, then here I hit it right: Our Romeo hath not been in bed tonight.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.234972762769886,78,""What, have you dined at home?"",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.288718929305066,79,""Lord, how my head aches!"",""Young son, it argues a distempered head So soon to bid ""Good morrow"" to thy bed.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.292500579205771,80,""What a head have I!"",""Jesu Maria, what a deal of brine Hath washed thy sallow cheeks for Rosaline!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.28364101700484,81,""It beats as it would fall in twenty pieces."",""Pronounce this sentence then: Women may fall when there's no strength in men.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.236089821668003,82,""My back o' t' other side!"",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.241157078539145,83,""Ah, my back, my back!"",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.337142710593377,84,""Beshrew your heart for sending me about To catch my death with jaunting up and down."",""Be plain, good son, and homely in thy drift.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.441059921558946,85,""Your love says, like an honest gentleman, and a courteous, and a kind, and a handsome, and, I warrant, a virtuous - Where is your mother?"",""The Earth that's nature's mother is her tomb"; What is her burying grave, that is her womb;" And from her womb children of divers kind We sucking on her natural bosom find, Many for many virtues excellent, None but for some, and yet all different."""
"#FriarLawrence_Rom,""#Nurse_Rom"",0.27997186200525,86,""O God's lady dear, Are you so hot?"",""Is Rosaline, that thou didst love so dear, So soon forsaken?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.455047972019025,87,""Marry, come up, I trow."",""Therefore thy earliness doth me assure Thou art uproused with some distemp'rature, Or, if not so, then here I hit it right: Our Romeo hath not been in bed tonight.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.192729792072643,88,""Is this the poultice for my aching bones?"",""Lo, here upon thy cheek the stain doth sit Of an old tear that is not washed off yet.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.28903086925917,89,""Henceforward do your messages yourself."",""In one respect I'll thy assistant be, For this alliance may so happy prove To turn your households' rancor to pure love.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.435664861362417,90,""Have you got leave to go to shrift today?"",""Riddling confession finds but riddling shrift.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.429714735950665,91,""Then hie you hence to Friar Lawrence' cell."",""Therefore thy earliness doth me assure Thou art uproused with some distemp'rature, Or, if not so, then here I hit it right: Our Romeo hath not been in bed tonight.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.298672477950342,92,""There stays a husband to make you a wife."",""In one respect I'll thy assistant be, For this alliance may so happy prove To turn your households' rancor to pure love.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.368113528916585,93,""Now comes the wanton blood up in your cheeks";" They'll be in scarlet straight at any news."",""Lo, here upon thy cheek the stain doth sit Of an old tear that is not washed off yet.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.397064878574855,94,""I must another way, To fetch a ladder by the which your love Must climb a bird's nest soon when it is dark."",""Now, ere the sun advance his burning eye, The day to cheer and night's dank dew to dry, I must upfill this osier cage of ours With baleful weeds and precious-juiced flowers.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.391770382990547,95,""I am the drudge and toil in your delight, But you shall bear the burden soon at night."",""Now, ere the sun advance his burning eye, The day to cheer and night's dank dew to dry, I must upfill this osier cage of ours With baleful weeds and precious-juiced flowers.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.25824975645277,96,""Hie you to the cell."",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.283749208647997,97,""Ah weraday, he's dead, he's dead, he's dead!"",""Not in a grave To lay one in, another out to have.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.243649817579532,98,""We are undone, lady, we are undone."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.263845713618567,99,""Alack the day, he's gone, he's killed, he's dead."",""Now, ere the sun advance his burning eye, The day to cheer and night's dank dew to dry, I must upfill this osier cage of ours With baleful weeds and precious-juiced flowers.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.536998012694377,100,""Romeo can, Though heaven cannot."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.568962182722268,101,""O Romeo, Romeo, Whoever would have thought it?"",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.256537046521621,102,""I saw it with mine eyes (God save the mark!)"",""Lo, here upon thy cheek the stain doth sit Of an old tear that is not washed off yet.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.398184925271247,103,""here on his manly breast -  A piteous corse, a bloody piteous corse, Pale, pale as ashes, all bedaubed in blood, All in gore blood."",""The Earth that's nature's mother is her tomb"; What is her burying grave, that is her womb;" And from her womb children of divers kind We sucking on her natural bosom find, Many for many virtues excellent, None but for some, and yet all different."""
"#FriarLawrence_Rom,""#Nurse_Rom"",0.272337962652386,104,""I swooned at the sight."",""For doting, not for loving, pupil mine.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.302166751887913,105,""O Tybalt, Tybalt, the best friend I had!"",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.378117031443006,106,""O courteous Tybalt, honest gentleman, That ever I should live to see thee dead!"",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.412922180398663,107,""Tybalt is gone and Romeo banished."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.457330068077342,108,""Romeo that killed him - he is banished."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.213623838634797,109,""It did, it did, alas the day, it did."",""The sun not yet thy sighs from heaven clears, Thy old groans yet ringing in mine ancient ears.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.479195715705294,110,""There's no trust, No faith, no honesty in men."",""Young men's love then lies Not truly in their hearts, but in their eyes.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.353961902801263,111,""All perjured, All forsworn, all naught, all dissemblers."",""If e'er thou wast thyself, and these woes thine, Thou and these woes were all for Rosaline.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.305276962242167,112,""Give me some aqua vitae."",""How much salt water thrown away in waste To season love, that of it doth not taste!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.409833902408966,113,""These griefs, these woes, these sorrows make me old."",""Lo, here upon thy cheek the stain doth sit Of an old tear that is not washed off yet.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.265279699360493,114,""Will you speak well of him that killed your cousin?"",""Not in a grave To lay one in, another out to have.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.312258788363234,115,""Weeping and wailing over Tybalt's corse."",""If e'er thou wast thyself, and these woes thine, Thou and these woes were all for Rosaline.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.13487538047497,116,""Will you go to them?"",""But come, young waverer, come, go with me.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.321287320675864,117,""I will bring you thither."",""But come, young waverer, come, go with me.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.649235903662221,118,""I'll find Romeo To comfort you."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.33852508152076,119,""I wot well where he is."",""But where hast thou been then?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.515218167024685,120,""Hark you, your Romeo will be here at night."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.237723046824725,121,""He is hid at Lawrence' cell."",""Not in a grave To lay one in, another out to have.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.280910689973733,122,""Let me come in, and you shall know my errand."",""Come, come with me, and we will make short work, For, by your leaves, you shall not stay alone Till Holy Church incorporate two in one.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.471495027333343,123,""I come from Lady Juliet."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.425642290992535,124,""O holy friar, O, tell me, holy friar, Where's my lady's lord?"",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.371260537066678,125,""O, he is even in my mistress' case, Just in her case."",""Let me dispute with thee of thy estate.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.314507024643798,126,""Even so lies she, Blubb'ring and weeping, weeping and blubb'ring."",""O, she knew well Thy love did read by rote, that could not spell.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.302430227878837,127,""Stand an you be a man."",""Romeo, come forth";" come forth, thou fearful man.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.544263627448726,128,""For Juliet's sake, for her sake, rise and stand."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.271495467636499,129,""Why should you fall into so deep an O?"",""Pronounce this sentence then: Women may fall when there's no strength in men.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.403030790456225,130,""Ah sir, ah sir, death's the end of all."",""Thy fault our law calls death, but the kind prince, Taking thy part, hath rushed aside the law And turned that black word ""death"" to ""banishment."" This is dear mercy, and thou seest it not.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.538855467999678,131,""O, she says nothing, sir, but weeps and weeps, And now falls on her bed, and then starts up, And ""Tybalt"" calls, and then on Romeo cries, And then down falls again."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.362679301902864,132,""O Lord, I could have stayed here all the night To hear good counsel."",""Commend me to thy lady, And bid her hasten all the house to bed, Which heavy sorrow makes them apt unto.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.479583192952788,133,""-  My lord, I'll tell my lady you will come."",""Commend me to thy lady, And bid her hasten all the house to bed, Which heavy sorrow makes them apt unto.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.391148836676098,134,""Here, sir, a ring she bid me give you, sir."",""Commend me to thy lady, And bid her hasten all the house to bed, Which heavy sorrow makes them apt unto.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.337821926623609,135,""Hie you, make haste, for it grows very late."",""Commend me to thy lady, And bid her hasten all the house to bed, Which heavy sorrow makes them apt unto.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.399108329057058,136,""Your lady mother is coming to your chamber."",""Commend me to thy lady, And bid her hasten all the house to bed, Which heavy sorrow makes them apt unto.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.351501602968778,137,""The day is broke"; be wary;" look about."",""Go av, good night - and here stands all your state: Either be gone before the watch be set Or by the break of day disguised from hence."""
"#FriarLawrence_Rom,""#Nurse_Rom"",0.362324799264686,138,""God in heaven bless her!"",""So smile the heavens upon this holy act That after-hours with sorrow chide us not.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.318715724648396,139,""You are to blame, my lord, to rate her so."",""Commend me to thy lady, And bid her hasten all the house to bed, Which heavy sorrow makes them apt unto.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.475854093237507,140,""Romeo is banished, and all the world to nothing That he dares ne'er come back to challenge you, Or, if he do, it needs must be by stealth."",""Romeo, come forth";" come forth, thou fearful man.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.222984300075861,141,""Then, since the case so stands as now it doth, I think it best you married with the County."",""Let me dispute with thee of thy estate.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.285994078983347,142,""O, he's a lovely gentleman!"",""I'll find out your man, And he shall signify from time to time Every good hap to you that chances here.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.567853871492844,143,""Romeo's a dishclout to him."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.324094100203293,144,""An eagle, madam, Hath not so green, so quick, so fair an eye As Paris hath."",""Unseemly woman in a seeming man, And ill-beseeming beast in seeming both!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.293542664956195,145,""Beshrew my very heart, I think you are happy in this second match, For it excels your first, or, if it did not, Your first is dead, or 'twere as good he were As living here and you no use of him."",""Thy Juliet is alive, For whose dear sake thou wast but lately dead: There art thou happy.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.309154293073057,146,""And from my soul too, else beshrew them both."",""Unseemly woman in a seeming man, And ill-beseeming beast in seeming both!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.353225750717443,147,""Marry, I will";" and this is wisely done."",""I'll find out your man, And he shall signify from time to time Every good hap to you that chances here.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.370548157787448,148,""See where she comes from shrift with merry look."",""Jesu Maria, what a deal of brine Hath washed thy sallow cheeks for Rosaline!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.276674777279696,149,""They call for dates and quinces in the pastry."",""These violent delights have violent ends And in their triumph die, like fire and powder, Which, as they kiss, consume.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.350569874044392,150,""Go, you cot-quean, go, Get you to bed."",""Now, when the bridegroom in the morning comes To rouse thee from thy bed, there art thou dead.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.439914912823648,151,""Faith, you'll be sick tomorrow For this night's watching."",""Go av, good night - and here stands all your state: Either be gone before the watch be set Or by the break of day disguised from hence.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.463757549873192,152,""- Fast, I warrant her, she -  Why, lamb, why, lady!"",""-  Look, sir, here comes the lady toward my cell.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.300747454327832,153,""- You take your pennyworths now."",""My leisure serves me, pensive daughter, now.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.417080239849857,154,""Sleep for a week, for the next night, I warrant, The County Paris hath set up his rest That you shall rest but little."",""Each part, deprived of supple government, Shall, stiff and stark and cold, appear like death, And in this borrowed likeness of shrunk death Thou shalt continue two and forty hours And then awake as from a pleasant sleep.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.40767648768022,155,""- God forgive me, Marry, and amen!"",""But look thou stay not till the watch be set, For then thou canst not pass to Mantua, Where thou shalt live till we can find a time To blaze your marriage, reconcile your friends, Beg pardon of the Prince, and call thee back With twenty hundred thousand times more joy Than thou went'st forth in lamentation.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.262591624684871,156,""How sound is she asleep!"",""The sun not yet thy sighs from heaven clears, Thy old groans yet ringing in mine ancient ears.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.349655509464653,157,""I needs must wake her."",""Now, when the bridegroom in the morning comes To rouse thee from thy bed, there art thou dead.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.397162440268369,158,""Ay, let the County take you in your bed, He'll fright you up, i' faith."",""Therefore thy earliness doth me assure Thou art uproused with some distemp'rature, Or, if not so, then here I hit it right: Our Romeo hath not been in bed tonight.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.289737614201013,159,""What, dressed, and in your clothes, and down again?"",""Be plain, good son, and homely in thy drift.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.323112469766507,160,""I must needs wake you."",""Each part, deprived of supple government, Shall, stiff and stark and cold, appear like death, And in this borrowed likeness of shrunk death Thou shalt continue two and forty hours And then awake as from a pleasant sleep.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.327553706047493,161,""-  O, weraday, that ever I was born!"",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.347465465721917,162,""She's dead, alack the day!"",""Now, when the bridegroom in the morning comes To rouse thee from thy bed, there art thou dead.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.335782772785093,163,""O woe, O woeful, woeful, woeful day!"",""O deadly sin, O rude unthankfulness!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.308227660582245,164,""Most lamentable day, most woeful day That ever, ever I did yet behold!"",""Take heed, take heed, for such die miserable.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.468798796019441,165,""O day, O day, O day, O hateful day!"",""O deadly sin, O rude unthankfulness!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.240974690767067,166,""Never was seen so black a day as this!"",""Lo, here upon thy cheek the stain doth sit Of an old tear that is not washed off yet.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.346208324070288,167,""O woeful day, O woeful day!"",""O deadly sin, O rude unthankfulness!""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.317390169746831,168,""Honest good fellows, ah, put up, put up, For, well you know, this is a pitiful case."",""Be plain, good son, and homely in thy drift.""";;
