"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.459697235240079,61,""An I were so apt to quarrel as thou art, any man should buy the fee simple of my life for an hour and a quarter."",""And thou must stand by too and suffer every knave to use me at his pleasure.""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.505357719099052,57,""She will indite him to some supper."",""I tell you, he that can lay hold of her Shall have the chinks.""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.507372566311899,55,""Here comes Romeo, here comes Romeo."",""His name is Romeo, and a Montague, The only son of your great enemy.""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.54533444830212,66,""O Romeo, Romeo, brave Mercutio is dead."",""His name is Romeo, and a Montague, The only son of your great enemy.""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.555129273728769,72,""There lies the man, slain by young Romeo, That slew thy kinsman, brave Mercutio."",""His name is Romeo, and a Montague, The only son of your great enemy.""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.58446892168876,48,""An if he hear thee, thou wilt anger him."",""Thou wilt fall backward when thou hast more wit, Wilt thou not, Jule?"" And, by my holidam, The pretty wretch left crying and said ""Ay."" To see now how a jest shall come about!""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.623838085063012,46,""Romeo, my cousin Romeo, Romeo!"",""His name is Romeo, and a Montague, The only son of your great enemy.""";;
"#Capulet_Rom,""#Benvolio_Rom"",0.44938108404238,33,""For what, I pray thee?"",""Earth hath swallowed all my hopes but she";" She's the hopeful lady of my earth.""";
"#Capulet_Rom,""#Benvolio_Rom"",0.450264929651822,67,""That gallant spirit hath aspired the clouds, Which too untimely here did scorn the earth."",""Earth hath swallowed all my hopes but she";" She's the hopeful lady of my earth.""";
"#Capulet_Rom,""#Benvolio_Rom"",0.471949107086339,44,""Supper is done, and we shall come too late."",""This night I hold an old accustomed feast, Whereto I have invited many a guest Such as I love";" and you among the store, One more, most welcome, makes my number more.""";
"#Capulet_Rom,""#Benvolio_Rom"",0.474439654502986,34,""Why Romeo, art thou mad?"",""Old Montague is come And flourishes his blade in spite of me.""";;
"#Capulet_Rom,""#Benvolio_Rom"",0.479690906243057,9,""Towards him I made, but he was 'ware of me And stole into the covert of the wood."",""Old Montague is come And flourishes his blade in spite of me.""";;
"#Capulet_Rom,""#Benvolio_Rom"",0.503149790761561,45,""The sport is at the best."",""-  Ah, sirrah, this unlooked-for sport comes well.""";;
"#Capulet_Rom,""#Benvolio_Rom"",0.507784344774819,37,""Tut, you saw her fair, none else being by, Herself poised with herself in either eye";" But in that crystal scales let there be weighed Your lady's love against some other maid That I will show you shining at this feast, And she shall scant show well that now seems best."",""Hear all, all see, And like her most whose merit most shall be";" Which, on more view of many, mine, being one, May stand in number, though in reck'ning none."""
"#Capulet_Rom,""#Benvolio_Rom"",0.511353196305849,4,""Here were the servants of your adversary, And yours, close fighting ere I did approach."",""Old Montague is come And flourishes his blade in spite of me.""";;
"#Capulet_Rom,""#Benvolio_Rom"",0.519447859737322,48,""An if he hear thee, thou wilt anger him."",""It is my will, the which if thou respect, Show a fair presence and put off these frowns, An ill-beseeming semblance for a feast.""";;
"#Capulet_Rom,""#Benvolio_Rom"",0.522417916606321,35,""At this same ancient feast of Capulet's Sups the fair Rosaline whom thou so loves, With all the admired beauties of Verona."",""Go, sirrah, trudge about Through fair Verona, find those persons out Whose names are written there, and to them say My house and welcome on their pleasure stay.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.4419032700659,43,""This wind you talk of blows us from ourselves."",""We must talk in secret.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.449519145575126,70,""The Prince will doom thee death If thou art taken."",""I pray thee, hold thy peace.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.474722600804676,57,""She will indite him to some supper."",""This night you shall behold him at our feast.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.478072166324065,56,""Thou wouldst else have made thy tale large."",""I have remembered me, thou 's hear our counsel.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.480809815828636,6,""In the instant came The fiery Tybalt with his sword prepared, Which, as he breathed defiance to my ears, He swung about his head and cut the winds, Who, nothing hurt withal, hissed him in scorn."",""Why call you for a sword?""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.483102046692776,51,""Go, then, for 'tis in vain To seek him here that means not to be found."",""Thus, then, in brief: The valiant Paris seeks you for his love.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.491807269208336,73,""Tybalt, here slain, whom Romeo's hand did slay -  Romeo, that spoke him fair, bid him bethink How nice the quarrel was, and urged withal Your high displeasure."",""Tybalt, my cousin, O my brother's child!""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.509979771657688,58,""I pray thee, good Mercutio, let's retire."",""I pray thee, hold thy peace.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.54610715037304,48,""An if he hear thee, thou wilt anger him."",""I pray thee, hold thy peace.""";;
"#LadyCapulet_Rom,""#Benvolio_Rom"",0.568708548038416,44,""Supper is done, and we shall come too late."",""This night you shall behold him at our feast.""";;
"#Paris_Rom,""#Benvolio_Rom"",0.34235325899481,51,""Go, then, for 'tis in vain To seek him here that means not to be found."",""But now, my lord, what say you to my suit?""";;
"#Paris_Rom,""#Benvolio_Rom"",0.344954145785374,70,""The Prince will doom thee death If thou art taken."",""But now, my lord, what say you to my suit?""";;
"#Paris_Rom,""#Benvolio_Rom"",0.347262898301813,31,""One desperate grief cures with another's languish."",""Of honorable reckoning are you both, And pity 'tis you lived at odds so long.""";;
"#Paris_Rom,""#Benvolio_Rom"",0.367308089288946,37,""Tut, you saw her fair, none else being by, Herself poised with herself in either eye";" But in that crystal scales let there be weighed Your lady's love against some other maid That I will show you shining at this feast, And she shall scant show well that now seems best."",""Of honorable reckoning are you both, And pity 'tis you lived at odds so long.""";
"#Paris_Rom,""#Benvolio_Rom"",0.377653367063749,42,""Come, knock and enter, and no sooner in But every man betake him to his legs."",""But now, my lord, what say you to my suit?""";;
"#Paris_Rom,""#Benvolio_Rom"",0.382651334199338,32,""Take thou some new infection to thy eye, And the rank poison of the old will die."",""But now, my lord, what say you to my suit?""";;
"#Paris_Rom,""#Benvolio_Rom"",0.390912294402842,36,""Go thither, and with unattainted eye Compare her face with some that I shall show, And I will make thee think thy swan a crow."",""But now, my lord, what say you to my suit?""";;
"#Paris_Rom,""#Benvolio_Rom"",0.397150131711386,44,""Supper is done, and we shall come too late."",""But now, my lord, what say you to my suit?""";;
"#Paris_Rom,""#Benvolio_Rom"",0.428856787063624,48,""An if he hear thee, thou wilt anger him."",""But now, my lord, what say you to my suit?""";;
"#Paris_Rom,""#Benvolio_Rom"",0.552069620047832,33,""For what, I pray thee?"",""But now, my lord, what say you to my suit?""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.559310444055197,73,""Tybalt, here slain, whom Romeo's hand did slay -  Romeo, that spoke him fair, bid him bethink How nice the quarrel was, and urged withal Your high displeasure."",""My reputation stained With Tybalt's slander - Tybalt, that an hour Hath been my cousin!""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.561928005028228,66,""O Romeo, Romeo, brave Mercutio is dead."",""Henceforth I never will be Romeo.""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.564988140969845,74,""All this uttered With gentle breath, calm look, knees humbly bowed Could not take truce with the unruly spleen Of Tybalt, deaf to peace, but that he tilts With piercing steel at bold Mercutio's breast, Who, all as hot, turns deadly point to point And, with a martial scorn, with one hand beats Cold death aside and with the other sends It back to Tybalt, whose dexterity Retorts it."",""-  Now, Tybalt, take the ""villain"" back again That late thou gavest me, for Mercutio's soul Is but a little way above our heads, Staying for thine to keep him company.""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.578605441560465,48,""An if he hear thee, thou wilt anger him."",""What, shall I groan and tell thee?""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.580130444663161,68,""Here comes the furious Tybalt back again."",""My reputation stained With Tybalt's slander - Tybalt, that an hour Hath been my cousin!""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.613951801141141,55,""Here comes Romeo, here comes Romeo."",""Henceforth I never will be Romeo.""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.614876659381728,15,""What sadness lengthens Romeo's hours?"",""Ay me, sad hours seem long.""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.627224604544379,50,""Blind is his love and best befits the dark."",""He that is strucken blind cannot forget The precious treasure of his eyesight lost.""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.659412822083039,33,""For what, I pray thee?"",""What, shall I groan and tell thee?""";;
"#Romeo_Rom,""#Benvolio_Rom"",0.703029789899333,37,""Tut, you saw her fair, none else being by, Herself poised with herself in either eye";" But in that crystal scales let there be weighed Your lady's love against some other maid That I will show you shining at this feast, And she shall scant show well that now seems best."",""Show me a mistress that is passing fair";" What doth her beauty serve but as a note Where I may read who passed that passing fair?"""
"#Juliet_Rom,""#Benvolio_Rom"",0.432446598977813,48,""An if he hear thee, thou wilt anger him."",""And stint thou, too, I pray thee, nurse, say I.""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.438486589209256,67,""That gallant spirit hath aspired the clouds, Which too untimely here did scorn the earth."",""Therefore pardon me, And not impute this yielding to light love, Which the dark night hath so discovered.""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.510690011682028,56,""Thou wouldst else have made thy tale large."",""How camest thou hither, tell me, and wherefore?""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.52200986541742,70,""The Prince will doom thee death If thou art taken."",""If they do see thee, they will murder thee.""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.524373997553637,73,""Tybalt, here slain, whom Romeo's hand did slay -  Romeo, that spoke him fair, bid him bethink How nice the quarrel was, and urged withal Your high displeasure."",""Three words, dear Romeo, and good night indeed.""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.53497313379182,77,""But by and by comes back to Romeo, Who had but newly entertained revenge, And to 't they go like lightning, for ere I Could draw to part them was stout Tybalt slain, And, as he fell, did Romeo turn and fly."",""O Romeo, Romeo, wherefore art thou Romeo?""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.555313653157673,72,""There lies the man, slain by young Romeo, That slew thy kinsman, brave Mercutio."",""O Romeo, Romeo, wherefore art thou Romeo?""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.561530612717291,75,""Romeo he cries aloud ""Hold, friends!"",""O Romeo, Romeo, wherefore art thou Romeo?""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.678832839498574,66,""O Romeo, Romeo, brave Mercutio is dead."",""O Romeo, Romeo, wherefore art thou Romeo?""";;
"#Juliet_Rom,""#Benvolio_Rom"",0.707606058520354,55,""Here comes Romeo, here comes Romeo."",""O Romeo, Romeo, wherefore art thou Romeo?""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.531920577049522,54,""Nay, he will answer the letter's master, how he dares, being dared."",""Any man that can write may answer a letter.""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.544668959169241,73,""Tybalt, here slain, whom Romeo's hand did slay -  Romeo, that spoke him fair, bid him bethink How nice the quarrel was, and urged withal Your high displeasure."",""And is he a man to encounter Tybalt?""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.548894614646662,46,""Romeo, my cousin Romeo, Romeo!"",""Nay, gentle Romeo, we must have you dance.""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.553024795589003,75,""Romeo he cries aloud ""Hold, friends!"",""Alas, poor Romeo, he is already dead, stabbed with a white wench's black eye, run through the ear with a love-song, the very pin of his heart cleft with the blind bow-boy's butt shaft.""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.557558734676859,68,""Here comes the furious Tybalt back again."",""And is he a man to encounter Tybalt?""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.558347911743415,48,""An if he hear thee, thou wilt anger him."",""Appear thou in the likeness of a sigh.""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.579990400693167,55,""Here comes Romeo, here comes Romeo."",""Nay, gentle Romeo, we must have you dance.""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.593439380709378,72,""There lies the man, slain by young Romeo, That slew thy kinsman, brave Mercutio."",""Alas, poor Romeo, he is already dead, stabbed with a white wench's black eye, run through the ear with a love-song, the very pin of his heart cleft with the blind bow-boy's butt shaft.""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.647900110135057,78,""This is the truth, or let Benvolio die."",""Come between us, good Benvolio.""";;
"#Mercutio_Rom,""#Benvolio_Rom"",0.649559980386413,66,""O Romeo, Romeo, brave Mercutio is dead."",""Alas, poor Romeo, he is already dead, stabbed with a white wench's black eye, run through the ear with a love-song, the very pin of his heart cleft with the blind bow-boy's butt shaft.""";;
